province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Leyte,Burauen,Councilor,"Magsambol, Ann Dale R.",-,Nationalist People's Coalition,0
Negros Occidental,Manapla,Mayor,"Escalante, Manuel III Montilia",Manolet,Lakas-Christian Muslim Democrats,0
Negros Occidental,Manapla,Vice-Mayor,"Garcia, Agnes Jo",Inday Agnes Jo,Lakas-Christian Muslim Democrats,0
La Union,Agoo,Mayor,"Eriguel, Eufranio Chan",Franny,Lakas-Christian Muslim Democrats,77
Palawan,Magsaysay,Councilor,"Diwara, Deogracias Sr. Navigar",Deo,Lakas-Christian Muslim Democrats,84
Palawan,Magsaysay,Councilor,"Del Mundo, Roberto Mendoza",Choy,Liberal Party,85
Palawan,Magsaysay,Councilor,"Besa, Joel Basa",Joel,Lakas-Christian Muslim Democrats,86
Palawan,Magsaysay,Councilor,"Eleazar, Rodolfo Manga",Rod,Lakas-Christian Muslim Democrats,90
Palawan,Magsaysay,Councilor,"Malana, Francisco Dayag",Frank,Lakas-Christian Muslim Democrats,90
Palawan,Magsaysay,Councilor,"Rabaya, Angel Jr. Calago",Jhun,Lakas-Christian Muslim Democrats,90
Palawan,Magsaysay,Vice-Mayor,"Pelaez, Jerry Petros",Garry or Jerry,Nationalist People's Coalition,91
Palawan,Magsaysay,Councilor,"Cayapas, Jaime Quinio",James,Lakas-Christian Muslim Democrats,92
Palawan,Magsaysay,Councilor,"Flores, Mario Oliva",Mar,Lakas-Christian Muslim Democrats,93
Palawan,Magsaysay,Mayor,"Mantes, Rosendo Lumerio",Ross,Lakas-Christian Muslim Democrats,97
Ilocos Norte,Adams,Councilor,"Cascayan, Romualdo Sr. Abadilla",Maldo,Lakas-Christian Muslim Democrats,250
Batanes,Ivana,Vice-Mayor,"Elizondo, Ramon Acebes",Monching,Lakas-Christian Muslim Democrats,250
Batanes,Uyugan,Councilor,"De Los Santos, Bernardo Cabugao",Bernard,Lakas-Christian Muslim Democrats,262
Batanes,Uyugan,Councilor,"Cobico, Jose Balanitar",Joe,Lakas-Christian Muslim Democrats,262
Batanes,Uyugan,Councilor,"Ybay, Joseph Cobico",Purong,Independent,264
Ilocos Norte,Adams,Councilor,"Tarnate, Jimmy Dadiwa",Jimmy,Independent,267
Ilocos Norte,Adams,Councilor,"Manuel, Marcelo Agbangog",W,Lakas-Christian Muslim Democrats,268
Ilocos Norte,Adams,Councilor,"Acebedo, Franklin Pedronan",Frank,Lakas-Christian Muslim Democrats,274
Batanes,Uyugan,Councilor,"Baldomar, Johnard Castellon",Baldo,Liberal Party,277
Batanes,Ivana,Councilor,"Hostallero, Leonardo Valones",Ading,Liberal Party,284
Ilocos Norte,Adams,Councilor,"Sacpa, Danny Tugade",Danny,Lakas-Christian Muslim Democrats,286
Batanes,Ivana,Councilor,"Valenciano, Victor Pama",Eton,Liberal Party,286
Batanes,Uyugan,Councilor,"Geronimo, Herminigildo Cabal",Hermie,Lakas-Christian Muslim Democrats,296
Batanes,Ivana,Councilor,"Acaya, Merlita Audar",Merly,Liberal Party,297
Batanes,Uyugan,Councilor,"Bogador, Teofila Baliday",Pila,Liberal Party,300
Ilocos Norte,Currimao,Councilor,"Bangaoan, Libres Jr. Salleb",Bongbong,Lakas-Christian Muslim Democrats,303
Batanes,Ivana,Councilor,"Cataluna, Augustus C.",Ely,Liberal Party,306
Ilocos Norte,Adams,Councilor,"Tukiad, Juan Apewan",Altaki,Nationalist People's Coalition,309
Batanes,Ivana,Councilor,"Acebes, Roland Gari",Boyan,Lakas-Christian Muslim Democrats,316
Ilocos Norte,Banna Espirito,Councilor,"Samalio, George Aguinaldo","Geng, George",Liberal Party,321
Batanes,Uyugan,Councilor,"Cobaria, Oscar Cabugao",Oca,Liberal Party,322
Ilocos Norte,Adams,Councilor,"Dupagen, Teodoro Dalloyon",Teddy,Lakas-Christian Muslim Democrats,324
Ilocos Norte,Adams,Councilor,"Cabradilla, Bernard Don",Boboy,Nationalist People's Coalition,324
Ilocos Norte,Banna Espirito,Councilor,"Banaba, Justo Agcarrang",Justo,Lakas-Christian Muslim Democrats,325
Ilocos Norte,Currimao,Councilor,"Bulil-Lit, Corpuz Gato",Copong,Independent,331
Batanes,Mahatao,Councilor,"Galindez, Emeterio Avancena",Iyong,Lakas-Christian Muslim Democrats,331
Batanes,Uyugan,Councilor,"Barsana, Anthony Hortiz",Tonit,Independent,335
Ilocos Norte,Currimao,Mayor,"Fernandez, Joy Bannagui Carte",Joy Carte,Lakas-Christian Muslim Democrats,336
Ilocos Norte,Currimao,Councilor,"Reyes, Gabriel Dumlao",Abbing,Kilusang Bagong Lipunan,339
Ilocos Norte,Banna Espirito,Councilor,"Ciriaco, Pedro Ibalo",Pebrero,Lakas-Christian Muslim Democrats,343
Batanes,Ivana,Councilor,"Elica, Paulino Cultura",Paul,Liberal Party,349
Magindanao,Shariff Saydona Mustapha,Councilor,"Nando, Odi Usman",Datu Odi,Lakas-Christian Muslim Democrats,350
Ilocos Norte,Currimao,Councilor,"Sueb, Edgar Sibali",Egay,Lakas-Christian Muslim Democrats,353
Batanes,Ivana,Mayor,"Barsana, Anastacio Adalla",Tacio,Liberal Party,355
Batanes,Mahatao,Councilor,"Meriel, Severo Fabrao",Biro,Liberal Party,356
Batanes,Sabtang,Councilor,"Ladreza, Clemente Jr. Cultura",Memen,Lakas-Christian Muslim Democrats,357
Ilocos Norte,Currimao,Councilor,"Carte, Mitzi Antonette Masaway",Mitchie,Lakas-Christian Muslim Democrats,358
Ilocos Norte,Banna Espirito,Councilor,"Dalusian, Robert Balbag",Amy,Lakas-Christian Muslim Democrats,359
Magindanao,Shariff Saydona Mustapha,Councilor,"Tocao, Jay Mamalinta",Kor,Lakas-Christian Muslim Democrats,360
Ilocos Norte,Banna Espirito,Councilor,"Bancud, Danilo Ulit",Danny,Liberal Party,362
Ilocos Norte,Banna Espirito,Councilor,"Tomas, Faustino D.",Inong,Liberal Party,362
Batanes,Uyugan,Vice-Mayor,"Ydel, Aurelia Adami",Relia,Lakas-Christian Muslim Democrats,365
Batanes,Sabtang,Councilor,"Lagundino, Juanita Elesterio",Nita,Lakas-Christian Muslim Democrats,373
Lanao del Sur,Buadiposo-Buntong,Councilor,"Bacaraman, Satar Umpara",Cesar,Independent,373
Batanes,Sabtang,Councilor,"Trillana, Roberto Bertillo",Berto,Lakas-Christian Muslim Democrats,377
Batanes,Sabtang,Councilor,"Binalon, Alexander Abas",Alex,Liberal Party,382
Lanao del Sur,Buadiposo-Buntong,Councilor,"Ganda, Mohamadali Pascan",Moca,Lakas-Christian Muslim Democrats,382
Batanes,Mahatao,Councilor,"Fajelga, Felipe Belgado",Epe/ Eping/ Felipe,Liberal Party,384
Lanao del Sur,Buadiposo-Buntong,Councilor,"Macaraya, Nos-ha Mamdig-Panandigan",Abuhayan,Lakas-Christian Muslim Democrats,387
Batanes,Mahatao,Councilor,"Balasbas, Ernesto Cartano",Ernie,Lakas-Christian Muslim Democrats,390
Ilocos Norte,Currimao,Vice-Mayor,"Gaspar, Rene Villa",-,Kilusang Bagong Lipunan,395
Batanes,Ivana,Councilor,"Valiente , Pedro Cabugao",Pete,Liberal Party,400
Batanes,Sabtang,Councilor,"Gecha, Rudy -",Rudy,Liberal Party,402
Ilocos Norte,Currimao,Councilor,"Julian, Menandro Simon",Lander,Independent,403
Batanes,Sabtang,Councilor,"Gabilo, Pedro Romeo Dapilan",Romy,Lakas-Christian Muslim Democrats,405
Lanao del Sur,Buadiposo-Buntong,Councilor,"Paporo, Parok Lawanun",Park,Lakas-Christian Muslim Democrats,409
Magindanao,Shariff Saydona Mustapha,Councilor,"Kalang, Abdulsalam Samama",Salam,Lakas-Christian Muslim Democrats,410
Ilocos Norte,Adams,Vice-Mayor,"Poking, Wagner Agamas",Wagner,Nationalist People's Coalition,412
Ilocos Norte,Currimao,Councilor,"Abal, Clemente Pigoti",Ellang Abal,Lakas-Christian Muslim Democrats,412
Ilocos Norte,Banna Espirito,Vice-Mayor,"Aguinaldo, Odon Magarro",Odon,Liberal Party,413
Ilocos Norte,Banna Espirito,Councilor,"Raval, Quirino Aribayan",Quirino,Lakas-Christian Muslim Democrats,413
Lanao del Sur,Buadiposo-Buntong,Councilor,"Abdulcate, Cocoy Gagao","Coco, Tamano",Lakas-Christian Muslim Democrats,419
Magindanao,Shariff Saydona Mustapha,Councilor,"Nagle, Tahir Abdullah",Ustadz,Lakas-Christian Muslim Democrats,420
Batanes,Uyugan,Mayor,"Ibay, Maria Cabugao",Marita,Liberal Party,426
Lanao del Sur,Buadiposo-Buntong,Councilor,"Gagao, Palawan Solaiman",Kakay Tingcap,Nationalist People's Coalition,429
Batanes,Sabtang,Mayor,"Caballero, Juan Elesterio",Johnny,Liberal Party,434
Magindanao,Shariff Saydona Mustapha,Councilor,"Madidis, Norodin Sultan",Nords,Lakas-Christian Muslim Democrats,438
Batanes,Mahatao,Councilor,"Tabuso, Thomas ",Thom,Liberal Party,439
Magindanao,Shariff Saydona Mustapha,Councilor,"Andang, Samid M.",Teng,Lakas-Christian Muslim Democrats,440
Batanes,Ivana,Councilor,"Cataluna, Oscar Adalla",Boyan,Liberal Party,443
Ilocos Norte,Currimao,Councilor,"Salno, Rodolfo Ramon",Rudy,Kilusang Bagong Lipunan,445
Batanes,Sabtang,Councilor,"Gabilo, Edna Figuro",Edna,Liberal Party,447
Batanes,Mahatao,Councilor,"Gaa, Magdalena Balasbas",Dellie/Del,Independent,453
Ilocos Norte,Banna Espirito,Councilor,"Laguitan, Alejo Jr. Morales",Jun,Independent,454
Magindanao,Shariff Saydona Mustapha,Councilor,"Abdullah, Sukarno Ago",Suk,Lakas-Christian Muslim Democrats,458
Magindanao,Shariff Saydona Mustapha,Councilor,"Pendatun, Rahim K.",Novo,Lakas-Christian Muslim Democrats,460
Batanes,Mahatao,Vice-Mayor,"Carzon, Victor Fagut",Vic,Lakas-Christian Muslim Democrats,462
Abra,Bucloc,Councilor,"Jefferson, Alvin Valera",Abel,Independent,463
Batanes,Sabtang,Councilor,"Delapa, Rogelio Castilar",Roger,Liberal Party,464
Abra,Bucloc,Councilor,"Sangoy, Joram Garcia",Joram,Lakas-Christian Muslim Democrats,465
Abra,Bucloc,Councilor,"Haboy, Allen Bassat",Bong/Ai,Independent,466
Lanao del Sur,Buadiposo-Buntong,Councilor,"Ramal, Langco Abdulmadid",Panandigan,Lakas-Christian Muslim Democrats,468
Batanes,Mahatao,Councilor,"Raterta, Roger Fainza","Roger, Ger",Lakas-Christian Muslim Democrats,469
Abra,Bucloc,Councilor,"Bayongan, Aladin Ques-Agen",Pambong,Partido Demokratiko Sosyalista ng Pilipinas,471
Abra,Daguioman,Councilor,"Sacwed, Isaias Pasudag",Itong,Partido Demokratiko Sosyalista ng Pilipinas,472
Abra,Bucloc,Councilor,"Agpaoan, Domingo Batalan",Inggo,Partido Demokratiko Sosyalista ng Pilipinas,474
Batanes,Sabtang,Vice-Mayor,"Alavado, Marcial Armando Abas",Manjing,Liberal Party,475
Abra,Bucloc,Vice-Mayor,"Cardenas, Paulino Dalipog",Palling,Lakas-Christian Muslim Democrats,477
Abra,Daguioman,Councilor,"Dalieng, Susana Molina",Gallisit/Susan/Lisit,Puwersa ng Masang Pilipino,478
Abra,Daguioman,Councilor,"Wacal, Ramsey Luis",George Sit Ram,Puwersa ng Masang Pilipino,485
Batanes,Mahatao,Councilor,"Garcia, Glenn Facuri",Glen,Lakas-Christian Muslim Democrats,488
Ilocos Norte,Adams,Mayor,"Dupagen, Wilma Burawi",Wilma,Lakas-Christian Muslim Democrats,492
Abra,Daguioman,Councilor,"Quibayen, Jaime Bossicot",Kaingan,Partido Demokratiko Sosyalista ng Pilipinas,494
Abra,Daguioman,Councilor,"Languia, Armando Burton",Alming/Arman,Partido Demokratiko Sosyalista ng Pilipinas,495
Batanes,Mahatao,Mayor,"Poncio, Pedro Fainza",Pinding,Lakas-Christian Muslim Democrats,495
Ilocos Norte,Banna Espirito,Mayor,"Espiritu, Francisco Jr. Raval",Ancis,Lakas-Christian Muslim Democrats,499
Abra,Daguioman,Councilor,"Balagso, Lyndsy Wacal",Linsy,Partido Demokratiko Sosyalista ng Pilipinas,500
Abra,Bucloc,Councilor,"Balao As , Ferdinand Diao-Yao",Tabiyo/Ferdie,Partido Demokratiko Sosyalista ng Pilipinas,504
Abra,Daguioman,Mayor,"Co-Kue, Sally Quibayen",Solaya,Partido Demokratiko Sosyalista ng Pilipinas,533
Lanao del Sur,Buadiposo-Buntong,Vice-Mayor,"Malambut, Ibrahim Bongaros",Taba,Lakas-Christian Muslim Democrats,536
Abra,Daguioman,Councilor,"Lomioan, Joshua Layugan",Jun Jun,Partido Demokratiko Sosyalista ng Pilipinas,542
Ilocos Sur,Sugpon,Councilor,"Umaybas, Theodoila Baludbon",Dhol,Lakas-Christian Muslim Democrats,542
Abra,Bucloc,Councilor,"Magalong, Eunice Magallis",Eunice/Agwan,Lakas-Christian Muslim Democrats,549
Ilocos Sur,Sigay,Councilor,"Dilla, Baltazar Suen",Baltaz,Liberal Party,549
Ilocos Sur,Sigay,Councilor,"Singguipen, Moises Sr. Ambog",Moises,Liberal Party,559
Ilocos Sur,Sigay,Councilor,"Dadpaas, Mamerto Gumpad",Merto,Lakas-Christian Muslim Democrats,561
Misamis Occidental,Conception,Councilor,"Tumagna, Amancio Domoyan",Cio,Partido ng Demokratikong Pilipino-Lakas ng Bayan,561
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Tumagna, Amancio Domoyan",Cio,Partido ng Demokratikong Pilipino-Lakas ng Bayan,561
Magindanao,Shariff Saydona Mustapha,Vice-Mayor,"Datang, Datucan K.",Tuks,Lakas-Christian Muslim Democrats,561
Lanao del Sur,Picong Sultan Gumander,Councilor,"Hadji Yosop, Haron Comayog",Mro,Partido ng Demokratikong Pilipino-Lakas ng Bayan,567
Ilocos Sur,Sigay,Councilor,"Garnace, Jovita Dalilis",Jovit,Lakas-Christian Muslim Democrats,571
Ilocos Sur,Sigay,Councilor,"Ambog, Asuncion Quitioan",Asun,Liberal Party,577
Lanao del Sur,Picong Sultan Gumander,Councilor,"Hadji Salid, Malic Pangcoga",Malic,Independent,580
Lanao del Sur,Buadiposo-Buntong,Councilor,"Macaindig, Morakan Basagan",Mike,Lakas-Christian Muslim Democrats,592
Ilocos Sur,Sugpon,Councilor,"Dayag, Aurelio Linglingao",Liwang,Lakas-Christian Muslim Democrats,595
Ilocos Sur,Sigay,Councilor,"Alabag, Marieta Tayaben",Mining,Liberal Party,602
Misamis Occidental,Conception,Councilor,"Aso, Veteliano Yabo",Tel,Partido ng Demokratikong Pilipino-Lakas ng Bayan,604
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Aso, Veteliano Yabo",Tel,Partido ng Demokratikong Pilipino-Lakas ng Bayan,604
Ilocos Sur,Sigay,Councilor,"Caleng, Daniel Bautista",Danny,Liberal Party,607
Lanao del Sur,Picong Sultan Gumander,Councilor,"Lolo, Arawan Dalaig",Sky Blue,Lakas-Christian Muslim Democrats,607
Abra,Licuan- Baay Licuan,Councilor,"Belisario, Yolanda Tumbaga",Landa,Independent,610
Ilocos Sur,Sigay,Councilor,"Donglos, Ernesto Sr. Dig-ao",Nesto,Liberal Party,628
Isabela,Dinapigue,Councilor,"Valdez, Charlie Tubon",Foreman Charlie,Nationalist People's Coalition,632
Lanao del Norte,Tangcal,Councilor,"Pepe, Jarida Imam",Deda,Nationalist People's Cialition,636
Mountain Province,Barlig,Councilor,"Cablog, Fernando Yacam-ma",Fernan,Laban ng Demokratikong Pilipino,638
Mountain Province,Barlig,Councilor,"Cupasan, Pio Singilan",Peo,Independent,644
Magindanao,Shariff Saydona Mustapha,Mayor,"Paglas, Abubakar Pendatun",Totoy,Lakas-Christian Muslim Democrats,648
Lanao del Sur,Masiu,Councilor,"Dumagay, Dalil Sumpad",Dhal,Lakas-Christian Muslim Democrats,649
Abra,Tineg,Councilor,"Eduarte, Resty Gayban",Tasan,Independent,650
Misamis Occidental,Conception,Councilor,"Omandam, Ruben Mayandiay",Ben,Partido ng Demokratikong Pilipino-Lakas ng Bayan,650
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Omandam, Ruben Mayandiay",Ben,Partido ng Demokratikong Pilipino-Lakas ng Bayan,650
Abra,Tineg,Councilor,"Tinong, Juan Lalugan",Ogo,Partido Demokratiko Sosyalista ng Pilipinas,651
Mountain Province,Barlig,Councilor,"Ngaya, Clark Chatongna",Elak,Independent,651
Abra,Licuan- Baay Licuan,Councilor,"Al-Lao, Rudy Blaquera",Imboy,Independent,660
Lanao del Norte,Tangcal,Councilor,"Ampog, Abdulwahab Aguip",Abu Saddam,Laban ng Demokratikong Pilipino,660
Abra,Malibcong,Councilor,"Bugawit, Claro Porseso",Along,Partido Demokratiko Sosyalista ng Pilipinas,661
Isabela,Divilacan,Councilor,"Tabbada, Cesar Pacis",-,Lakas-Christian Muslim Democrats,663
Misamis Occidental,Conception,Councilor,"Paredes, Rogelio A.",Roger,Independent,663
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Paredes, Rogelio A.",Roger,Independent,663
Abra,Daguioman,Councilor,"Manicag, Orlando Cardenas",Randy,Partido Demokratiko Sosyalista ng Pilipinas,664
Ilocos Sur,Sugpon,Councilor,"Quinio, Corsido Pilgi",Sido,Independent,664
Abra,Bucloc,Mayor,"Molina, Mailed Gandeza",Libnao,Lakas-Christian Muslim Democrats,666
Abra,Bucloc,Councilor,"Balingoay, Jose Mayad",Bangyad,Partido Demokratiko Sosyalista ng Pilipinas,666
Abra,Malibcong,Councilor,"Tiggangay, Elpido B.",Elpin,Puwersa ng Masang Pilipino,666
Lanao del Sur,Picong Sultan Gumander,Councilor,"Capal, Mama Tiangca",Kanakan,Lakas-Christian Muslim Democrats,667
Abra,Tineg,Councilor,"Quezada, Noel Mablay",Meno,Partido Demokratiko Sosyalista ng Pilipinas,676
Isabela,Divilacan,Councilor,"Cabaldo, Ventura Mago",Tura,Lakas-Christian Muslim Democrats,678
Abra,Tineg,Councilor,"Libuen, Benjamin Dawala",Bersamin,Partido Demokratiko Sosyalista ng Pilipinas,680
Isabela,Dinapigue,Councilor,"Arana, Joel Buraga",Boboy,Independent,681
Abra,Tineg,Councilor,"Sagung, Arsenio Ulin",Arsing,Independent,682
Mountain Province,Barlig,Councilor,"Nabunat, Randy Afuyog",Ranchez,Independent,688
Ilocos Sur,Sugpon,Councilor,"Alfaro, Geronimo Agaid",Romeo,Independent,695
Abra,Lacub,Councilor,"Ortega, Saldeo Wacevisan",Saldy,Partido Demokratiko Sosyalista ng Pilipinas,698
Lanao del Sur,Picong Sultan Gumander,Councilor,"Sarip, Mangondato Pala",Mancy,Lakas-Christian Muslim Democrats,698
Ilocos Sur,Sugpon,Councilor,"Yubos, Teofilo Abalos",Pilo,Liberal Party,702
Isabela,Divilacan,Councilor,"Alvarez, Rosendo Donato",Boy,Lakas-Christian Muslim Democrats,702
Ilocos Sur,Sigay,Vice-Mayor,"Wandas, Simeon Jr. Pugongan",Tiwi,Liberal Party,703
Isabela,Dinapigue,Councilor,"Viernes, Angelita Tamo",Angie,Partido ng Demokratikong Pilipino-Lakas ng Bayan,704
Lanao del Sur,Masiu,Councilor,"Sulaiman, Abdullah Amer",Dodo,Independent,708
Mountain Province,Barlig,Councilor,"Changilan, Genesis Tenangag",Kamachu,Independent,709
Lanao del Norte,Tangcal,Councilor,"Boncay, Idal Eden",Idal,Lakas-Christian Muslim Democrats,709
Mountain Province,Sadanga,Councilor,"Kabfilan, Romeo Lango",Ngidlos,Lakas-Christian Muslim Democrats,713
Lanao del Sur,Masiu,Councilor,"Urandig, Saidamen M",Saidi,Independent,715
Abra,Lacub,Councilor,"Banatao, Rodolfo Maxsimo",Piding,Partido Demokratiko Sosyalista ng Pilipinas,719
Misamis Occidental,Conception,Councilor,"Gumapit, Ruben Manday",Bhong,Lakas-Christian Muslim Democrats,721
Misamis Occidental,Don Victoriano Chiongbian Don Mariano Marcos,Councilor,"Gumapit, Ruben Manday",Bhong,Lakas-Christian Muslim Democrats,721
Mountain Province,Sadanga,Councilor,"Likkab, Sawangan Chalimeg",Sawangan,Independent,724
Isabela,Divilacan,Councilor,"Pecaat, Nortencio Antonio",Nort,Lakas-Christian Muslim Democrats,724
Abra,Malibcong,Councilor,"Manangbao, Alfenia Tabaday",Alpi,Partido Demokratiko Sosyalista ng Pilipinas,726
Nueva Vizcaya,Aritao,Councilor,"Respito, Salvador Barniego",Nog-Nog,Laban Demokratikong Pilipino,728
Abra,Malibcong,Councilor,"Alunday, David Apolinar",Bangyad,Partido Demokratiko Sosyalista ng Pilipinas,731
Abra,Malibcong,Councilor,"Molina, Amorsolo Bonglas",Amor,Partido Demokratiko Sosyalista ng Pilipinas,734
